,id,name,description,logo,createdat,proposalscount,votescount,memberscount,voterparticipation,aum,website,twitter,discord,treasury_address,dd_eth_names,telegram,discourse,github,instagram,own_blog,open_sea,documentation,notion,medium,youtube
0,52bf381b-79a8-4498-8504-41961beda494,Compound,Compound is a pioneer lending protocol based on liquidity pools that's governed by its token stakers. Its governance method has been forked by various DeFi protocols.,compound.png,2020-12-08T16:17:53.769Z,118,4169,192326,0.7726464440585257,372022773.67276925,https://compound.finance/,compoundfinance,https://discord.com/invite/cU7vmVW,"0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0x2775b1c75658be0f640272ccb8c72ac986009e38","comp-vote.eth,compgov.eth,grantcomp.eth,cuni",,,,,,,,,,
1,2ac1beef-40f4-4893-9f1c-c99f73990744,Idle Finance,The Idle protocol lends users' liquidity pools to DeFi markets according to user-selected strategies. Assets are automatically aggregated and rebalanced for best interest yields.,idle-finance.png,2021-03-30T12:12:28.939Z,92,1108,4181,7.558000478354461,5973525.773757353,https://idle.finance,idlefinance,https://discord.com/invite/mpySAJp,"0xb0aa1f98523ec15932dd5faac5d86e57115571c7,0x107a369bc066c77ff061c7d2420618a6ce31b925,0xfb3bd022d5dacf95ee28a6b07825d4ff9c5b3814,0xcaf467dfe064a1f54e4ece8515ddf326b9be801e,0x69a62c24f16d4914a48919613e8ee330641bcb94,0xbecc659bfc6edca552fa1a67451cc6b38a0108e4",idlefinance.eth,https://t.me/idlefinance,https://gov.idle.finance,https://github.com/Idle-Labs,,,,,,,
2,996e1469-01d7-4e94-b18a-c7c970b8c1ec,Fei,"Fei is a stablecoin protocol with inbuilt balancing properties such as minting upon demand, peg incentives, strong protocol control over collaterals, and proactive rebalancing.",https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/fei.png,2021-07-09T15:23:45.774Z,100,10538,16725,28.286995515695068,158887986.92164522,https://fei.money/,feiprotocol,https://t.co/xmqnbNzV2o,"0x8d5ed43dca8c2f7dfb20cf7b53cc7e593635d7b9,0xd51dba7a94e1adea403553a8235c302cebf41a3c,0xb230b535d2cf009bdc9d7579782de160b795d5e8,0x639572471f2f318464dc01066a56867130e45e25,0xe087f94c3081e1832dc7a22b48c6f2b5faae579b",fei.eth,https://t.me/feiprotocol,,https://github.com/fei-protocol,,,,,,,
3,c7211182-72ba-4583-a616-d7cb79efcee0,BProtocol,"BProtocol offers liquidity backstops for DeFi protocols - incentivized pool-collateralization of specific undercollateralled loans, which allows more leverage for protocols' general pools.",https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/bprotocol.png,2021-07-09T15:27:34.742Z,0,0,1610,0.0,3358540.6854249323,https://www.bprotocol.org,bprotocoleth,https://discord.com/invite/bJ4guuw,0xcc09c04a9e3930343290184544f97669eff18a8d,,,,https://github.com/backstop-protocol,,,,,,,
4,aca77a4e-ecb1-4eb3-a722-979977a52eb4,Gitcoin,"Gitcoin is a significant grants center and community-builder for DAO-era coordination of capital and culture. It serves crypto education, employment market, project acceleration and BUIDLing through nurtured internal leadership and workstreams.",gitcoin.png,2021-06-02T17:02:18.157Z,75,38674,23986,18.71508379888268,50843064.687569484,https://gitcoin.co/,gitcoin,,"0xde21f729137c5af1b01d73af1dc21effa2b8a0d6,0x57a8865cfb1ecef7253c27da6b4bc3daee5be518",gitcoindao.eth,,https://gov.gitcoin.co,https://github.com/gitcoinco,,,,,,,
5,4bff6ac2-91c5-4561-b8e3-9ee070473941,Indexed,DeepDAO research coming soon,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/indexed.png,2021-07-09T14:58:56.415Z,17,453,5779,4.793216819518948,,https://indexed.finance,ndxfi,https://discord.com/invite/jaeSTNPNt9,,,,,https://github.com/indexed-finance,,,,,,,
6,fe6aa70f-4877-4f6d-9c18-9a8cafc1fe28,Uniswap,Uniswap is a Decentralized EXchange that generates automatic markets of liquidity asset pairs. It allows for flash transactions and liquidity allocation by specific price margins.,uniswap.png,2020-12-08T16:18:29.904Z,75,30565,321388,1.762666932181662,2237625501.458644,https://uniswap.org/,uniswap,https://discord.gg/FCfyBSbCU5,"0x4750c43867ef5f89869132eccf19b9b6c4286e1a,0x1a9c8182c09f50c8318d769245bea52c32be35bc","uniswap,uni.meme0xb1.eth",,https://gov.uniswap.org,https://github.com/Uniswap,,,,,,,
7,f12e8672-59e5-425e-bfd9-42f4078a3ff1,Cryptex,Cryptex is a crypto token pegged to the total market cap of all crypto tokens and coins as sourced by its oracles. Its user-pooled collaterals farm yield while pegging. Currently in Beta.,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/cryptex.jpeg,2021-07-09T15:33:26.387Z,18,74,1148,2.264808362369338,37640307.81894794,https://cryptex.finance,CryptexFinance,,"0xa70b638b70154edfcbb8dbbbd04900f328f32c35,0xa54074b2cc0e96a43048d4a68472f7f046ac0da8",cryptexdao.eth,,https://forum.cryptex.finance/,https://github.com/cryptexfinance,,,,,,,
8,949bdfa3-17e6-4bae-b0ac-3bc4226b8a72,Ampleforth,"Ampleforth runs a stablecoin of elastic supply by demand, which aspires increased resilience to DeFi price volatility and token correlations - thereby useful hedge and reserve. It currently plans for native DeFi legos of similar assets.",https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/ampleforth.png,2021-07-09T15:38:10.103Z,12,392,23198,0.8147254073627036,12125.57388244488,https://www.ampleforth.org/,ampleforthorg,https://discord.gg/mptQ49m,"0x77fba179c79de5b7653f68b5039af940ada60ce0,0x223592a191ecfc7fdc38a9256c3bd96e771539a9","ampleforth,ampleforthorg.eth",https://t.me/Ampleforth,,https://github.com/ampleforth,,,,,,,
9,fd2a0d84-49b0-4f82-b740-55012f82871e,Conjure,"Conjure allows permissionless automatic creation of boundless synthetic assets, including, DeFi aggregators, legacy finance and real-world commodities indices. ",https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/conjure.png,2021-07-09T15:38:57.745Z,0,0,316,0.0,746.667635625,https://conjure.finance/,ConjureFi,https://discord.gg/qeYPBYH5qB,0x3aac79279108cf1c7db7d8250c87eeffc63676f5,,https://t.me/ConjureFinanceDiscussion,,https://github.com/ConjureFi,,,,,,,
10,9590d484-85ed-42df-bb4d-71101e6b63d1,PoolTogether,"Pooltogether is a nonprofit set to encourage saving over gambling. Its users enjoy stablecoin no-loss lotteries with prizes = 100% of their pool yields, liquidity staking rewards, and protocol ownership.",https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/pool_toogether.jpeg,2021-07-09T15:01:48.007Z,49,1808,8869,8.174540534445821,6381339.012409281,https://pooltogether.com/,PoolTogether_,https://pooltogether.com/discord/,0x42cd8312d2bce04277dd5161832460e95b24262e,pooltogether.eth,https://t.me/PoolTogetherTelegram,,https://github.com/pooltogether,https://www.instagram.com/pooltogether_com/?hl=en,,,,,,
11,4c31770a-e3ca-4cc8-9292-508d632ff66a,Radicle,"Radicle is a community-governed coding network that facilitates collaborative coding in a permissionless, creator-owned, interactive environment, with designated development tools.",https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/radicle.png,2021-07-09T15:06:08.707Z,16,622,6347,6.822120686938711,291689510.1553847,https://radicle.xyz/,radicle,https://discord.com/invite/HRdnwAwGbG,0x8da8f82d2bbdd896822de723f55d6edf416130ba,gov.radicle.eth,https://t.me/radicleworld,https://radicle.community,https://github.com/radicle-dev,,,,,,,
